customer_id,contract_id,contract_ref_id,associated_line,contract_description,from_date,to_date,associated_line_fmt
124,322,104,580 726 3486,100 text,2015-07-30 05:18:01.000,2015-11-09 20:09:14.000,5807263486
124,323,102,4116099238,Unlimited text,2016-06-19 13:57:04.000,2016-08-10 23:16:58.000,4116099238
126,324,102,+1 (558) 726-1111,Unlimited text,2016-08-11 17:21:13.000,2017-01-19 11:53:54.000,15587261111
126,326,108,593 339 4785,5G 3G,2017-01-08 05:02:42.000,2016-02-26 23:32:23.000,5933394785
126,327,105,2874469961,10G LTE,2016-12-14 03:06:29.000,2017-02-03 08:46:11.000,2874469961
127,328,103,(445) 404-6501,450 min,2016-11-02 23:46:34.000,2015-01-15 18:50:46.000,4454046501
127,330,107,589-470-7385,10G 3G,2015-09-30 01:08:13.000,2015-11-02 12:35:10.000,5894707385
127,331,106,5972295003,5G LTE,2015-01-25 11:16:53.000,2017-01-25 18:33:33.000,5972295003
128,332,109,(393) 193-7883,Roaming special,2016-08-21 07:08:17.000,2016-01-21 20:42:24.000,3931937883
129,333,107,8854827922,10G 3G,2016-07-27 00:29:50.000,2015-08-30 02:41:54.000,8854827922
129,335,101,7815765119,Unlimited call,2017-02-17 01:41:10.000,2016-07-04 16:06:21.000,7815765119
130,336,101,762-715-4769,Unlimited call,2016-05-20 03:30:57.000,2016-10-16 10:43:54.000,7627154769
130,337,105,365-570-7717,10G LTE,2017-02-05 21:27:55.000,2015-10-11 02:17:39.000,3655707717
130,338,110,(866) 733-7959,5G tether,2015-07-04 22:42:37.000,2017-01-02 05:58:35.000,8667337959
131,340,101,+1 (907) 786-1770,Unlimited call,2015-12-26 17:45:48.000,2015-08-08 23:50:53.000,19077861770
132,341,101,(585) 433-9847,Unlimited call,2017-01-08 14:54:29.000,2016-06-13 01:26:14.000,5854339847
132,342,104,(955) 410-8920,100 text,2016-09-05 04:34:19.000,2016-12-15 20:00:19.000,9554108920
132,344,110,+1 (622) 919-4360,5G tether,2016-04-04 02:32:16.000,2015-04-06 03:37:39.000,16229194360
133,345,101,5154507832,Unlimited call,2015-11-22 16:38:40.000,2016-01-07 10:22:13.000,5154507832
134,346,104,509-881-9054,100 text,2015-06-26 07:57:09.000,2017-01-17 00:31:36.000,5098819054
134,348,101,(873) 224-5576,Unlimited call,2016-08-18 20:28:50.000,2016-08-17 17:36:01.000,8732245576
136,349,104,(273) 725-7583,100 text,2017-01-29 10:07:30.000,2015-01-19 00:31:18.000,2737257583
136,350,105,9675314411,10G LTE,2015-04-22 23:01:09.000,2016-04-26 09:10:08.000,9675314411
136,352,110,(127) 719-6665,5G tether,2016-04-17 07:59:44.000,2015-09-25 00:41:26.000,1277196665
137,353,105,(136) 345-3460,10G LTE,2015-05-07 06:50:24.000,2016-02-11 03:21:13.000,1363453460
139,355,110,(971) 416-1441,5G tether,2015-01-10 05:16:20.000,2015-03-17 17:42:59.000,9714161441
140,356,108,6937288222,5G 3G,2015-06-11 03:58:52.000,2016-06-27 19:32:21.000,6937288222
140,357,106,(552) 404-5230,5G LTE,2017-02-13 17:14:20.000,2015-07-03 10:55:29.000,5524045230
140,358,107,(793) 418-8204,10G 3G,2016-01-31 00:35:43.000,2016-06-19 03:56:29.000,7934188204
142,360,106,170 486 4588,5G LTE,2016-09-11 13:40:10.000,2016-05-23 19:39:08.000,1704864588
143,361,109,(682) 969-5880,Roaming special,2016-11-10 07:43:26.000,2016-02-24 16:58:29.000,6829695880
143,362,104,514-555-9034,100 text,2016-07-01 01:57:46.000,2016-07-07 16:22:51.000,5145559034
144,363,106,+1 (930) 963-6360,5G LTE,2016-12-17 17:25:21.000,2015-11-17 11:18:40.000,19309636360
144,365,105,377 560 5113,10G LTE,2016-04-28 14:10:35.000,2015-04-11 23:19:23.000,3775605113
145,366,102,740-274-7148,Unlimited text,2016-02-04 04:00:51.000,2016-12-28 06:50:28.000,7402747148
146,367,105,666-984-2624,10G LTE,2015-03-28 14:32:56.000,2016-01-05 16:51:14.000,6669842624
146,368,101,+1 (719) 183-2908,Unlimited call,2015-05-06 09:11:03.000,2015-07-29 04:23:30.000,17191832908
147,370,110,469 814 2864,5G tether,2015-08-08 17:23:08.000,2016-01-30 21:36:42.000,4698142864
148,371,106,159 601 3029,5G LTE,2016-06-11 01:23:53.000,2015-10-13 05:03:10.000,1596013029
148,372,108,+1 (891) 513-7990,5G 3G,2015-05-19 20:53:49.000,2015-06-12 10:34:13.000,18915137990
148,374,107,920-101-7996,10G 3G,2017-01-24 20:15:27.000,2016-09-26 21:48:39.000,9201017996
149,375,104,976 924 6199,100 text,2017-02-24 15:52:17.000,2015-10-19 23:44:35.000,9769246199
149,376,110,+1 (808) 270-9254,5G tether,2015-05-28 05:00:10.000,2015-02-26 12:23:53.000,18082709254
149,377,110,147-648-5821,5G tether,2016-06-20 22:44:38.000,2015-03-17 16:30:29.000,1476485821
149,379,102,101-925-7929,Unlimited text,2015-09-01 21:14:13.000,2016-03-05 11:04:14.000,1019257929
150,380,108,(208) 531-7813,5G 3G,2016-01-26 08:16:33.000,2017-01-02 06:42:19.000,2085317813
150,382,107,+1 (341) 645-3933,10G 3G,2015-06-24 14:04:49.000,2015-09-14 11:54:52.000,13416453933
150,383,109,598 869 2167,Roaming special,2015-10-14 03:13:42.000,2015-01-10 14:12:37.000,5988692167
150,384,104,(964) 653-3526,100 text,2015-02-18 23:09:32.000,2015-06-06 18:17:03.000,9646533526
151,385,109,+1 (412) 951-8584,Roaming special,2016-02-14 07:33:13.000,2016-02-08 18:44:49.000,14129518584
152,387,102,967-560-5851,Unlimited text,2017-01-17 13:04:58.000,2016-08-01 13:10:22.000,9675605851
152,388,101,487-538-6472,Unlimited call,2016-07-22 12:39:57.000,2016-09-15 04:05:18.000,4875386472
152,389,109,+1 (425) 492-7583,Roaming special,2015-03-05 15:09:57.000,2016-06-27 10:01:27.000,14254927583
153,390,104,(677) 285-8595,100 text,2015-05-24 10:59:00.000,2016-05-09 09:07:37.000,6772858595
153,391,103,5472522321,450 min,2016-03-22 17:25:30.000,2016-11-13 08:17:41.000,5472522321
153,392,104,646 792 3091,100 text,2015-05-13 18:09:58.000,2016-04-23 21:16:24.000,6467923091
153,393,102,6316482979,Unlimited text,2016-08-18 17:29:31.000,2016-09-24 09:02:42.000,6316482979
153,394,110,(512) 797-5126,5G tether,2017-01-11 17:06:05.000,2015-11-24 08:06:04.000,5127975126
154,395,101,(405) 196-3941,Unlimited call,2016-06-01 20:21:56.000,2015-04-29 02:09:38.000,4051963941
154,396,103,749 190 3129,450 min,2015-05-04 10:23:46.000,2016-04-07 09:38:32.000,7491903129
154,397,110,(212) 805-7424,5G tether,2015-12-23 21:53:20.000,2016-11-28 16:05:47.000,2128057424
155,398,109,2721839268,Roaming special,2016-05-29 20:05:51.000,2015-06-22 03:18:24.000,2721839268
155,399,105,282-256-9985,10G LTE,2016-03-21 07:28:45.000,2016-05-06 07:00:30.000,2822569985
155,400,108,+1 (207) 299-6917,5G 3G,2015-11-18 22:52:42.000,2016-02-24 02:04:28.000,12072996917
155,401,107,668-898-8129,10G 3G,2017-01-14 09:47:02.000,2015-11-23 14:11:26.000,6688988129
155,402,101,583-566-1175,Unlimited call,2016-04-03 10:31:31.000,2016-09-24 08:58:59.000,5835661175
156,403,103,+1 (565) 875-1459,450 min,2016-05-12 13:54:44.000,2017-01-12 21:51:36.000,15658751459
156,404,107,+1 (558) 982-9932,10G 3G,2015-05-24 07:31:39.000,2016-03-24 03:29:06.000,15589829932
156,405,102,+1 (213) 989-1496,Unlimited text,2016-06-26 18:55:07.000,2015-11-29 11:06:39.000,12139891496
157,406,107,584-462-1779,10G 3G,2016-04-08 03:58:45.000,2015-10-10 01:56:21.000,5844621779
157,407,108,7585428892,5G 3G,2016-04-05 07:30:10.000,2015-12-09 19:40:21.000,7585428892
158,408,102,+1 (791) 885-1884,Unlimited text,2015-07-29 13:44:14.000,2016-04-10 05:53:28.000,17918851884
158,409,107,+1 (197) 837-3650,10G 3G,2016-02-17 07:29:22.000,2015-01-21 21:05:36.000,11978373650
158,410,104,3397195211,100 text,2017-01-31 02:48:49.000,2015-09-27 07:29:33.000,3397195211
159,411,105,7348262615,10G LTE,2016-06-03 13:29:29.000,2015-10-21 17:37:34.000,7348262615
159,412,104,5997708722,100 text,2016-04-23 11:40:55.000,2015-08-28 19:17:42.000,5997708722
159,413,104,367 429 1853,100 text,2016-11-13 05:28:35.000,2017-02-16 16:50:49.000,3674291853
160,414,102,(123) 882-6432,Unlimited text,2015-08-08 13:43:26.000,2016-01-09 07:05:49.000,1238826432
160,415,107,230 499 1945,10G 3G,2016-07-06 14:56:54.000,2016-01-04 04:35:02.000,2304991945
160,416,109,500-477-5267,Roaming special,2015-12-15 12:17:09.000,2015-02-01 16:00:04.000,5004775267
161,417,108,(486) 395-9584,5G 3G,2016-05-18 06:25:12.000,2016-12-12 17:48:11.000,4863959584
